Geburtsland in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Country of birth of residents in Vienna by sex and of Vienna subdistrict;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91000;91003;2;3572;330;239;50;92;116;25;35;49;45;310;2281;20110101
AT1;AT13;AT130;91000;91004;2;3844;520;326;66;103;113;31;92;44;29;512;2008;20110101
AT1;AT13;AT130;91000;91005;2;8804;913;788;113;245;352;87;169;77;84;991;4985;20110101
AT1;AT13;AT130;91000;91006;2;5850;766;627;84;180;327;50;138;55;40;802;2781;20110101
AT1;AT13;AT130;91000;91007;2;6074;478;283;75;134;213;42;100;72;59;637;3981;20110101
AT1;AT13;AT130;91000;91008;2;4766;538;387;74;139;218;34;111;47;47;546;2625;20110101
AT1;AT13;AT130;91000;91009;2;2485;175;119;28;47;78;9;40;34;20;213;1722;20110101
AT1;AT13;AT130;91000;91010;2;8396;663;555;115;143;233;34;97;113;53;657;5733;20110101
AT1;AT13;AT130;91000;91011;2;4540;212;374;51;68;59;11;26;60;19;420;3240;20110101
AT1;AT13;AT130;91000;91012;2;1237;44;30;21;42;35;8;23;9;12;202;811;20110101
AT1;AT13;AT130;91000;91013;2;2630;154;75;34;21;36;12;16;44;14;118;2106;20110101
AT1;AT13;AT130;91000;91014;2;2190;95;54;41;21;17;7;11;26;18;111;1789;20110101
AT1;AT13;AT130;91000;91015;2;2847;124;84;28;56;108;23;27;27;21;180;2169;20110101
AT1;AT13;AT130;91000;91016;2;3119;87;53;43;33;25;5;22;56;27;189;2579;20110101
AT1;AT13;AT130;91000;91017;2;450;8;3;6;1;0;1;1;2;4;16;408;20110101
AT1;AT13;AT130;91000;91018;2;2234;47;15;40;38;28;3;17;20;17;117;1892;20110101
AT1;AT13;AT130;91000;91019;2;1376;51;15;30;22;9;4;18;14;17;83;1113;20110101
AT1;AT13;AT130;91000;91020;2;5240;162;276;83;78;35;18;41;81;33;254;4179;20110101
AT1;AT13;AT130;91000;91021;2;3570;87;97;43;83;23;14;15;32;26;212;2938;20110101
AT1;AT13;AT130;91000;91022;2;3257;291;180;56;136;132;27;94;41;35;459;1806;20110101
AT1;AT13;AT130;91000;91023;2;4891;408;358;69;92;146;28;103;58;27;455;3147;20110101
AT1;AT13;AT130;91000;91099;2;264;8;5;3;10;2;0;1;0;0;12;223;20110101
